Timestamp,temperature,humidity,pressure,voc,pir
2026-03-17 06:51:05,31.28,77.77,101105,27.94,0
2026-03-17 06:51:15,31.27,77.81,101104,27.89,0
2026-03-17 06:51:25,31.27,77.80,101104,27.85,0
2026-03-17 06:51:36,31.27,77.80,101104,27.92,0
2026-03-17 06:51:46,31.27,77.80,101103,27.85,0
2026-03-17 06:51:56,31.27,77.78,101104,27.83,0
2026-03-17 06:52:06,31.27,77.78,101103,27.94,1
2026-03-17 06:52:17,31.27,77.79,101103,27.87,1
2026-03-17 06:52:27,31.28,77.78,101102,27.96,1
2026-03-17 06:52:37,31.28,77.78,101102,27.81,1
2026-03-17 06:52:47,31.27,77.81,101102,27.85,0
2026-03-17 06:52:58,31.27,77.85,101102,27.98,0
2026-03-17 06:53:08,31.27,77.80,101102,27.85,0
2026-03-17 06:53:18,31.27,77.82,101102,27.83,0
2026-03-17 06:53:28,31.27,77.81,101101,27.90,0
2026-03-17 06:53:38,31.26,77.82,101101,27.92,0
2026-03-17 06:53:49,31.26,77.85,101101,27.81,0
2026-03-17 06:53:59,31.26,77.82,101102,27.81,0
2026-03-17 06:54:09,31.26,77.82,101101,27.89,0
2026-03-17 06:54:19,31.26,77.84,101100,27.87,0
2026-03-17 06:54:30,31.26,77.87,101100,27.92,0
2026-03-17 06:54:40,31.26,77.85,101100,27.83,0
2026-03-17 06:54:50,31.26,77.81,101100,27.96,0
2026-03-17 06:55:00,31.27,77.78,101100,27.92,0
2026-03-17 06:55:11,31.27,77.80,101099,27.92,0
2026-03-17 06:55:21,31.27,77.83,101099,27.96,0
2026-03-17 06:55:31,31.27,77.84,101099,27.90,0
2026-03-17 06:55:41,31.27,77.84,101099,27.96,0
2026-03-17 06:55:51,31.27,77.83,101099,27.85,0
2026-03-17 06:56:02,31.27,77.80,101100,27.94,0
2026-03-17 06:56:12,31.27,77.82,101099,27.98,0
2026-03-17 06:56:22,31.27,77.83,101098,27.79,0
2026-03-17 06:56:32,31.27,77.85,101098,27.87,0
2026-03-17 06:56:43,31.27,77.87,101098,27.81,0
2026-03-17 06:56:53,31.27,77.87,101097,27.85,0
2026-03-17 06:57:03,31.27,77.82,101098,27.94,0
2026-03-17 06:57:13,31.27,77.81,101097,27.92,0
2026-03-17 06:57:24,31.27,77.82,101096,27.98,0
2026-03-17 06:57:34,31.28,77.84,101096,27.87,0
2026-03-17 06:57:44,31.28,77.83,101096,27.90,0
2026-03-17 06:57:54,31.28,77.83,101096,27.85,0
2026-03-17 06:58:04,31.28,77.81,101096,27.85,0
2026-03-17 06:58:15,31.28,77.64,101096,27.92,0
2026-03-17 06:58:25,31.29,77.68,101095,27.83,0
2026-03-17 06:58:35,31.29,77.72,101095,27.85,0
2026-03-17 06:58:45,31.29,77.72,101095,27.85,0
2026-03-17 06:58:56,31.29,77.77,101095,27.92,0
2026-03-17 06:59:06,31.28,77.81,101095,27.85,0
2026-03-17 06:59:16,31.28,77.85,101095,27.87,0
2026-03-17 06:59:26,31.27,77.85,101096,27.79,0
2026-03-17 06:59:37,31.27,77.87,101096,27.76,0
2026-03-17 06:59:47,31.27,77.85,101096,27.72,0
2026-03-17 06:59:57,31.27,77.87,101096,27.68,0
2026-03-17 22:00:07,31.27,77.85,101096,27.74,0
2026-03-17 22:00:17,31.26,77.88,101096,27.72,0
2026-03-17 22:00:28,31.27,77.85,101095,27.79,0
2026-03-17 22:00:38,31.27,77.84,101095,27.81,0
2026-03-17 22:00:48,31.27,77.84,101096,27.81,1
2026-03-17 22:00:58,31.27,77.85,101095,27.74,1
2026-03-17 22:01:09,31.27,77.85,101096,27.77,1
2026-03-17 22:01:19,31.27,77.87,101096,27.74,1
2026-03-17 22:01:29,31.27,77.90,101096,27.72,1
2026-03-17 22:01:39,31.27,77.90,101096,27.74,0
2026-03-17 22:01:50,31.27,77.94,101097,27.81,0
2026-03-17 22:02:00,31.27,77.90,101097,27.61,0
2026-03-17 22:02:10,31.27,77.89,101097,27.77,0
2026-03-17 22:02:20,31.27,77.90,101097,27.74,0
2026-03-17 22:02:31,31.27,77.92,101097,27.87,0
2026-03-17 22:02:41,31.26,77.95,101097,27.81,0
2026-03-17 22:02:51,31.26,77.95,101096,27.63,0
2026-03-17 22:03:01,31.26,77.97,101096,27.76,0
2026-03-17 22:03:11,31.26,77.97,101097,27.77,0
2026-03-17 22:03:22,31.26,77.97,101097,27.67,0
2026-03-17 22:03:32,31.26,77.96,101097,27.83,0
2026-03-17 22:03:42,31.27,77.96,101097,27.67,0
2026-03-17 22:03:52,31.27,77.96,101098,27.70,0
2026-03-17 22:04:03,31.27,77.98,101098,27.63,0
2026-03-17 22:04:13,31.27,77.98,101098,27.74,0
2026-03-17 22:04:23,31.27,78.02,101098,27.76,0
2026-03-17 22:04:33,31.27,77.99,101098,27.65,0
2026-03-17 22:04:44,31.27,78.00,101098,27.67,0
2026-03-17 22:04:54,31.26,78.04,101099,27.65,0
2026-03-17 22:05:04,31.26,78.05,101098,27.63,0
2026-03-17 22:05:14,31.26,78.09,101099,27.76,1
2026-03-17 22:05:24,31.27,78.01,101098,27.68,0
2026-03-17 22:05:35,31.28,77.97,101098,27.56,0
2026-03-17 22:05:45,31.27,78.00,101098,27.61,0
2026-03-17 22:05:55,31.27,78.07,101097,27.61,0
2026-03-17 22:06:05,31.26,78.12,101098,27.50,0
2026-03-17 22:06:16,31.26,78.16,101097,27.58,0
2026-03-17 22:06:26,31.26,78.14,101097,27.61,0
2026-03-17 22:06:36,31.25,78.14,101097,27.63,0
2026-03-17 22:06:46,31.25,78.15,101096,27.67,0
2026-03-17 22:06:57,31.25,78.17,101096,27.58,0
2026-03-17 22:07:07,31.25,78.15,101096,27.63,0
