Timestamp,temperature,humidity,pressure,voc,pir
2026-03:16 11:07:24,31.50,79.17,101089,25.94,0
2026-03:16 11:07:34,31.51,79.05,101089,25.88,0
2026-03:16 11:07:44,31.52,78.98,101089,25.86,0
2026-03:16 11:07:55,31.53,78.98,101088,25.70,0
2026-03:16 11:08:05,31.53,79.00,101089,25.66,0
2026-03:16 11:08:15,31.54,78.94,101089,25.66,0
2026-03:16 11:08:25,31.54,78.94,101089,25.59,0
2026-03:16 11:08:36,31.54,78.83,101089,25.56,0
2026-03:16 11:08:46,31.55,78.90,101089,25.61,0
2026-03:16 11:08:56,31.54,78.94,101089,25.52,0
2026-03:16 11:09:06,31.54,78.94,101088,25.59,0
2026-03:16 11:09:16,31.54,78.88,101089,25.61,0
2026-03:16 11:09:27,31.53,78.90,101088,25.56,0
2026-03:16 11:09:37,31.53,78.95,101088,25.58,0
2026-03:16 11:09:47,31.53,78.96,101089,25.55,0
2026-03:16 11:09:57,31.53,79.02,101090,25.50,0
2026-03:16 11:10:08,31.53,79.03,101090,25.59,0
2026-03:16 11:10:18,31.53,78.96,101090,25.53,0
2026-03:16 11:10:28,31.52,78.96,101090,25.64,0
2026-03:16 11:10:38,31.52,78.98,101089,25.59,0
2026-03:16 11:10:49,31.52,79.00,101089,25.69,0
2026-03:16 11:10:59,31.52,79.00,101089,25.50,0
2026-03:16 11:11:09,31.52,78.99,101089,25.50,0
2026-03:16 11:11:19,31.52,78.99,101089,25.52,0
2026-03:16 11:11:29,31.52,79.04,101089,25.63,0
2026-03:16 11:11:40,31.51,79.08,101090,25.47,0
2026-03:16 11:11:50,31.51,79.05,101089,25.49,0
2026-03:16 11:12:00,31.51,79.06,101090,25.55,0
2026-03:16 11:12:10,31.51,79.08,101089,25.53,0
2026-03:16 11:12:21,31.51,79.11,101089,25.61,0
2026-03:16 11:12:31,31.51,79.16,101089,25.63,0
2026-03:16 11:12:41,31.51,79.13,101089,25.55,0
2026-03:16 11:12:51,31.51,79.15,101089,25.53,0
2026-03:16 11:13:02,31.51,79.16,101089,25.55,0
2026-03:16 11:13:12,31.51,79.15,101090,25.52,0
2026-03:16 11:13:22,31.50,79.10,101089,25.50,1
2026-03:16 11:13:32,31.50,79.11,101089,25.53,0
2026-03:16 11:13:42,31.49,79.09,101089,25.47,0
2026-03:16 11:13:53,31.49,79.06,101089,25.52,0
2026-03:16 11:14:03,31.49,79.04,101089,25.49,0
2026-03:16 11:14:13,31.49,78.98,101089,25.53,0
2026-03:16 11:14:23,31.49,78.92,101088,25.58,0
2026-03:16 11:14:34,31.49,78.93,101089,25.58,0
2026-03:16 11:14:44,31.49,78.92,101089,25.66,0
2026-03:16 11:14:54,31.49,78.90,101089,25.75,0
2026-03:16 11:15:04,31.48,78.88,101088,25.72,0
2026-03:16 11:15:15,31.47,78.87,101088,25.72,0
2026-03:16 11:15:25,31.47,78.91,101088,25.88,0
2026-03:16 11:15:35,31.46,78.91,101088,25.78,0
2026-03:16 11:15:45,31.46,78.87,101087,25.75,0
2026-03:16 11:15:56,31.46,78.84,101088,25.81,0
2026-03:16 11:16:06,31.45,78.83,101088,25.75,0
2026-03:16 11:16:16,31.45,78.80,101088,25.75,0
2026-03:16 11:16:26,31.45,78.79,101088,25.78,0
2026-03:16 11:16:36,31.45,78.79,101087,25.74,0
2026-03:16 11:16:47,31.44,78.80,101087,25.80,0
2026-03:16 11:16:57,31.44,78.77,101087,25.86,0
2026-03:16 11:17:07,31.44,78.73,101087,25.86,1
2026-03:16 11:17:17,31.43,78.74,101087,25.77,1
2026-03:16 11:17:28,31.43,78.70,101087,25.77,0
2026-03:16 11:17:38,31.43,78.70,101086,25.92,0
2026-03:16 11:17:48,31.43,78.73,101086,25.97,0
2026-03:16 11:17:58,31.43,78.69,101087,25.84,0
2026-03:16 11:18:09,31.43,78.71,101086,25.83,0
2026-03:16 11:18:19,31.43,78.70,101086,25.91,0
2026-03:16 11:18:29,31.43,78.67,101087,25.83,0
2026-03:16 11:18:39,31.43,78.62,101086,26.00,0
2026-03:16 11:18:49,31.43,78.61,101086,25.97,0
2026-03:16 11:19:00,31.43,78.63,101086,25.94,0
2026-03:16 11:19:10,31.42,78.61,101086,25.95,0
2026-03:16 11:19:20,31.42,78.66,101086,25.88,0
2026-03:16 11:19:30,31.41,78.63,101086,25.97,0
