Timestamp,temperature,humidity,pressure,voc,pir
2026-03-17 20:53:01,31.22,78.00,101069,26.10,0
2026-03-17 20:53:11,31.22,78.02,101069,26.07,0
2026-03-17 20:53:21,31.22,78.00,101069,26.18,0
2026-03-17 20:53:32,31.22,77.96,101068,26.07,0
2026-03-17 20:53:42,31.22,77.97,101068,26.07,0
2026-03-17 20:53:52,31.22,77.89,101068,26.21,0
2026-03-17 20:54:02,31.21,77.84,101068,26.10,0
2026-03-17 20:54:12,31.21,77.79,101068,26.13,0
2026-03-17 20:54:23,31.21,77.76,101068,26.29,0
2026-03-17 20:54:33,31.20,77.72,101069,26.29,0
2026-03-17 20:54:43,31.20,77.68,101069,26.31,1
2026-03-17 20:54:53,31.20,77.70,101068,26.38,1
2026-03-17 20:55:04,31.19,77.68,101068,26.26,1
2026-03-17 20:55:14,31.19,77.67,101067,26.29,1
2026-03-17 20:55:24,31.18,77.65,101067,26.39,1
2026-03-17 20:55:34,31.18,77.64,101067,26.38,0
2026-03-17 20:55:45,31.18,77.64,101067,26.36,0
2026-03-17 20:55:55,31.18,77.66,101067,26.46,0
2026-03-17 20:56:05,31.18,77.63,101067,26.42,0
2026-03-17 20:56:15,31.18,77.65,101066,26.29,0
2026-03-17 20:56:25,31.18,77.65,101066,26.44,0
2026-03-17 20:56:36,31.19,77.63,101067,26.49,0
2026-03-17 20:56:46,31.18,77.58,101067,26.54,0
2026-03-17 20:56:56,31.18,77.60,101068,26.57,0
2026-03-17 20:57:06,31.18,77.62,101068,26.46,0
2026-03-17 20:57:17,31.18,77.63,101068,26.44,0
2026-03-17 20:57:27,31.18,77.64,101069,26.57,0
2026-03-17 20:57:37,31.18,77.63,101068,26.52,0
2026-03-17 20:57:47,31.18,77.66,101069,26.52,0
2026-03-17 20:57:58,31.18,77.66,101069,26.49,0
2026-03-17 20:58:08,31.17,77.67,101069,26.64,0
2026-03-17 20:58:18,31.17,77.69,101070,26.69,0
2026-03-17 20:58:28,31.17,77.72,101070,26.66,0
2026-03-17 20:58:39,31.17,77.71,101070,26.74,0
